name,position,school,city,state,zip,email,phone,image
Young-Hwan Lee,MCBR Director,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,NEED
David Burk,Associate Director,Louisiana State University Dept. of Biological Science PBRC,Baton Rouge,Louisiana,70803,NEED,NEED,NEED
Vladimir Chouljenko,Associate Director,Louisiana State University SVM,Baton Rouge,Louisiana,70803,NEED,NEED,NEED
Srinivas Garlapati,ULM,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,garlapati
Elahe Mahdavian,LSU-S,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,mahdavian
Rebecca Giorno-McConnell,LA Tech,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,giorno
Chris Beachy,SELU,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,NEED
Weneene Dorsey,Grambling,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,NEED
Harris McFerrin,Xavier,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,mcferrin
Sanjay Batra,SUBR,Louisiana State University Dept. of Biological Science,Baton Rouge,Louisiana,70803,NEED,NEED,batra
